gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
male,group C,associate's degree,free/reduced,none,68,65,61
male,group D,high school,standard,none,41,52,51
male,group D,high school,free/reduced,none,44,51,48
male,group C,some high school,free/reduced,none,79,76,65
female,group E,associate's degree,standard,completed,93,100,95
male,group B,some high school,standard,completed,64,53,57
male,group C,associate's degree,free/reduced,none,73,68,66
male,group B,some high school,standard,none,88,84,75
female,group C,some college,free/reduced,none,62,72,70
male,group D,some college,free/reduced,none,62,57,62
male,group C,high school,free/reduced,none,61,60,55
male,group D,associate's degree,standard,none,90,87,85
male,group D,high school,free/reduced,none,75,74,66
female,group C,some college,free/reduced,none,77,90,91
female,group C,some college,standard,none,82,90,94
male,group E,high school,standard,none,80,76,65
male,group D,high school,free/reduced,none,63,57,56
male,group E,some high school,standard,none,82,67,61
female,group E,some college,standard,none,61,64,62
male,group A,high school,standard,none,57,43,47
female,group D,high school,standard,none,45,63,59
male,group E,high school,free/reduced,none,55,56,51
female,group B,associate's degree,standard,none,58,63,65
male,group B,bachelor's degree,free/reduced,none,73,56,57
female,group E,bachelor's degree,standard,none,65,73,75
female,group C,some high school,standard,completed,59,54,67
female,group C,some college,standard,completed,88,93,93
female,group D,associate's degree,standard,none,65,69,70
male,group C,associate's degree,standard,none,69,77,69
male,group C,high school,standard,none,70,56,51
male,group E,associate's degree,standard,none,89,76,74
male,group E,high school,standard,none,84,73,69
male,group D,associate's degree,free/reduced,completed,61,71,73
female,group B,high school,standard,none,74,72,72
male,group B,high school,standard,none,57,48,51
female,group C,high school,standard,completed,60,64,74
male,group C,high school,free/reduced,none,54,72,59
female,group A,bachelor's degree,standard,none,51,49,51
female,group D,some high school,standard,completed,80,92,88
female,group A,some college,free/reduced,none,49,65,55
male,group C,bachelor's degree,standard,completed,91,81,79
male,group B,high school,standard,none,52,48,49
male,group C,master's degree,standard,none,67,57,59
female,group C,bachelor's degree,free/reduced,completed,47,62,66
male,group B,some high school,standard,completed,61,56,56
female,group D,associate's degree,free/reduced,completed,74,88,90
female,group E,some college,standard,none,68,70,66
male,group C,master's degree,free/reduced,completed,79,77,75
female,group D,some college,free/reduced,none,64,74,75
male,group B,some college,standard,completed,91,96,91
female,group E,bachelor's degree,free/reduced,none,61,58,62
female,group C,bachelor's degree,free/reduced,none,43,62,61
female,group C,high school,free/reduced,none,53,72,64
female,group E,bachelor's degree,standard,none,64,73,70
female,group A,high school,free/reduced,completed,53,50,60
female,group C,bachelor's degree,standard,none,86,92,87
female,group D,high school,standard,none,69,72,77
female,group C,some high school,standard,none,77,91,88
female,group D,high school,standard,none,78,81,80
female,group C,some college,standard,none,54,48,52
male,group A,associate's degree,standard,none,54,53,47
female,group E,associate's degree,free/reduced,none,73,76,78
female,group B,bachelor's degree,standard,none,67,86,83
male,group C,associate's degree,free/reduced,none,49,51,51
female,group C,master's degree,free/reduced,none,40,58,54
male,group D,associate's degree,free/reduced,none,52,57,50
female,group D,some college,standard,completed,82,97,96
male,group D,some high school,standard,none,81,78,78
female,group B,high school,free/reduced,completed,23,44,36
male,group E,some high school,standard,none,92,87,78
female,group B,some high school,standard,completed,32,51,44
female,group E,some college,standard,completed,73,78,76
male,group C,associate's degree,standard,none,83,72,78
female,group B,high school,standard,none,50,53,55
female,group D,master's degree,standard,completed,70,71,74
male,group D,associate's degree,standard,completed,67,54,63
female,group D,associate's degree,free/reduced,completed,42,61,58
male,group D,some college,free/reduced,none,59,62,61
female,group B,some college,standard,none,70,75,78
male,group B,some college,free/reduced,none,55,55,47
male,group D,associate's degree,standard,none,61,48,46
female,group B,bachelor's degree,standard,completed,66,74,81
female,group D,bachelor's degree,free/reduced,none,73,79,84
female,group D,some high school,standard,none,80,90,82
female,group A,some high school,free/reduced,none,38,43,43
female,group B,associate's degree,standard,completed,52,66,73
male,group C,high school,standard,completed,58,52,54
female,group C,high school,standard,none,72,80,83
female,group C,associate's degree,standard,completed,68,86,84
female,group C,bachelor's degree,standard,completed,77,94,95
female,group B,some high school,standard,none,82,82,80
female,group D,associate's degree,standard,none,76,74,73
male,group E,some high school,standard,completed,81,75,76
male,group E,associate's degree,free/reduced,completed,46,43,44
male,group D,some college,standard,none,88,77,77
male,group C,associate's degree,free/reduced,completed,65,73,68
female,group B,bachelor's degree,standard,none,97,97,96
female,group B,some college,standard,none,82,85,87
female,group B,bachelor's degree,standard,completed,65,81,81
male,group C,master's degree,standard,completed,91,85,85
female,group C,associate's degree,standard,completed,55,72,79
female,group D,master's degree,standard,none,92,100,100
female,group B,high school,standard,none,81,91,89
female,group E,associate's degree,free/reduced,completed,57,68,73
female,group C,some college,standard,none,73,80,82
female,group D,high school,standard,none,56,52,55
female,group D,associate's degree,standard,completed,57,78,79
male,group D,associate's degree,free/reduced,none,66,62,64
male,group C,high school,standard,completed,53,52,49
male,group E,associate's degree,standard,completed,81,81,79
male,group C,high school,standard,completed,75,69,68
male,group A,high school,standard,completed,72,73,74
