iter	RMSE
0	14.19896483
1	13.34052202
2	12.61378013
3	12.05113823
4	11.50959412
5	10.95709147
6	10.46307799
7	10.06644707
8	9.683024221
9	9.292688743
10	8.900299599
11	8.591418485
12	8.282913286
13	7.980445757
14	7.751437962
15	7.540887729
16	7.299948164
17	7.104164626
18	6.982381494
19	6.824573798
20	6.670162575
21	6.524032357
22	6.393875452
23	6.272293891
24	6.159277126
25	6.074226928
26	5.960765626
27	5.865236954
28	5.772049712
29	5.688723013
30	5.625426418
31	5.554184031
32	5.493364609
33	5.427288554
34	5.355960524
35	5.321884092
36	5.268545237
37	5.226604753
38	5.194776815
39	5.15744182
40	5.106416333
41	5.078168289
42	5.043211281
43	4.998800442
44	4.970138556
45	4.946361065
46	4.917729233
47	4.878805258
48	4.848843588
49	4.842872414
50	4.823286116
51	4.813525064
52	4.793056767
53	4.768723865
54	4.752293598
55	4.722023008
56	4.705185792
57	4.678114944
58	4.652760866
59	4.626212851
60	4.609488867
61	4.575613944
62	4.541088196
63	4.511501367
64	4.486162991
65	4.46496895
66	4.438846891
67	4.421756278
68	4.395913317
69	4.362831847
70	4.345053539
71	4.331942511
72	4.31963804
73	4.289844872
74	4.282429731
75	4.273566493
76	4.254572219
77	4.240469024
78	4.229409087
79	4.209653917
80	4.198005738
81	4.178432318
82	4.169311037
83	4.153812137
84	4.12705026
85	4.101860313
86	4.08728797
87	4.073351914
88	4.063250583
89	4.052776741
90	4.032352277
91	4.015966873
92	4.005341002
93	3.982836015
94	3.962207512
95	3.94843523
96	3.939772934
97	3.920127385
98	3.90642816
99	3.887524195
