iter	Passed	Remaining
0	166	165972
1	168	84255
2	171	57070
3	174	43460
4	177	35341
5	180	29892
6	183	26015
7	186	23066
8	188	20782
9	190	18845
10	192	17263
11	193	15943
12	195	14832
13	196	13867
14	198	13035
15	200	12302
16	201	11658
17	203	11085
18	204	10576
19	206	10116
20	208	9698
21	209	9322
22	211	8977
23	212	8656
24	214	8364
25	216	8092
26	217	7827
27	218	7576
28	219	7346
29	220	7130
30	221	6925
31	222	6734
32	223	6553
33	224	6384
34	225	6224
35	226	6075
36	227	5925
37	228	5791
38	229	5662
39	230	5540
40	231	5423
41	232	5312
42	234	5208
43	235	5108
44	236	5011
45	237	4919
46	238	4831
47	239	4741
48	240	4660
49	241	4583
50	242	4507
51	243	4435
52	244	4365
53	245	4298
54	246	4233
55	247	4170
56	248	4110
57	249	4053
58	250	3996
59	251	3941
60	252	3888
61	253	3837
62	254	3787
63	255	3739
64	256	3693
65	257	3648
66	258	3604
67	259	3561
68	260	3520
69	262	3481
70	263	3442
71	264	3404
72	265	3367
73	266	3332
74	267	3297
75	268	3263
76	269	3230
77	270	3196
78	271	3164
79	272	3134
80	273	3104
81	274	3073
82	275	3044
83	276	3016
84	277	2986
85	278	2960
86	279	2936
87	281	2913
88	282	2889
89	283	2865
90	284	2842
91	285	2820
92	286	2798
93	287	2775
94	288	2752
95	289	2730
96	291	2709
97	292	2688
98	293	2668
99	294	2648
100	295	2628
101	296	2608
102	297	2589
103	298	2570
104	299	2551
105	300	2532
106	301	2514
107	302	2497
108	303	2479
109	304	2462
110	305	2445
111	306	2429
112	307	2414
113	308	2398
114	309	2384
115	311	2372
116	312	2357
117	313	2342
118	314	2327
119	315	2312
120	316	2298
121	317	2282
122	318	2268
123	319	2255
124	320	2241
125	321	2228
126	322	2216
127	323	2203
128	324	2191
129	325	2178
130	326	2165
131	327	2153
132	328	2141
133	329	2129
134	330	2118
135	331	2106
136	332	2094
137	333	2083
138	334	2072
139	335	2061
140	336	2051
141	337	2042
142	339	2031
143	339	2021
144	341	2010
145	342	2001
146	343	1991
147	344	1981
148	345	1971
149	346	1961
150	347	1952
151	348	1942
152	349	1933
153	350	1924
