iter	Passed	Remaining
0	1	1677
1	3	1568
2	4	1521
3	5	1486
4	7	1485
5	10	1739
6	12	1754
7	14	1849
8	16	1815
9	18	1793
10	19	1778
11	21	1770
12	24	1852
13	26	1837
14	28	1839
15	30	1858
16	31	1840
17	33	1822
18	34	1798
19	36	1775
20	37	1759
21	40	1820
22	42	1801
23	44	1801
24	45	1789
25	47	1792
26	50	1835
27	53	1854
28	55	1845
29	56	1829
30	58	1814
31	59	1799
32	60	1786
33	62	1772
34	63	1761
35	65	1754
36	68	1792
37	70	1789
38	72	1783
39	73	1773
40	75	1760
41	76	1749
42	78	1739
43	79	1730
44	81	1723
45	84	1759
46	86	1748
47	87	1741
48	89	1733
49	90	1726
50	92	1720
51	93	1712
52	95	1707
53	97	1702
54	98	1696
55	100	1692
56	102	1693
57	104	1693
58	105	1689
59	107	1681
60	108	1676
61	110	1671
62	113	1688
63	115	1683
64	116	1676
65	119	1691
66	121	1690
67	123	1692
68	125	1692
69	128	1704
70	129	1699
71	131	1694
72	133	1688
73	134	1683
74	135	1676
75	138	1681
76	140	1690
77	144	1704
78	145	1698
79	147	1695
80	149	1692
81	150	1688
82	151	1674
83	153	1668
84	154	1663
85	155	1657
86	159	1669
87	160	1666
88	162	1662
89	163	1657
90	165	1657
91	167	1657
92	169	1655
93	171	1653
94	173	1649
95	174	1646
96	176	1641
97	177	1636
98	179	1631
99	180	1627
100	182	1622
101	184	1622
102	187	1636
103	189	1635
104	192	1637
105	193	1634
106	195	1630
107	196	1626
108	198	1622
109	199	1617
110	203	1633
111	205	1629
112	207	1625
113	209	1624
114	210	1620
115	212	1616
116	213	1610
117	215	1607
118	218	1615
119	219	1611
120	221	1606
121	222	1599
122	223	1595
123	225	1592
124	226	1587
125	228	1584
126	229	1579
127	233	1589
128	234	1585
129	236	1581
130	237	1577
131	239	1574
132	240	1569
133	242	1565
134	243	1561
135	245	1557
136	249	1568
137	250	1565
138	252	1562
139	254	1560
140	255	1557
141	256	1549
142	257	1545
143	259	1541
144	260	1537
145	262	1534
146	263	1531
147	265	1528
148	268	1533
149	270	1533
150	272	1532
151	275	1538
152	277	1537
153	279	1536
154	282	1539
155	284	1540
156	291	1567
157	293	1566
158	298	1577
159	300	1578
160	303	1581
161	310	1607
162	313	1610
163	315	1608
164	317	1606
165	319	1604
166	322	1609
167	325	1610
168	328	1612
169	332	1623
170	334	1621
171	338	1628
172	340	1627
173	342	1626
174	344	1622
175	345	1619
176	350	1629
177	354	1636
178	356	1637
179	358	1635
180	361	1636
181	363	1634
182	365	1632
183	371	1646
184	374	1650
185	378	1654
186	381	1659
187	390	1688
188	393	1686
189	395	1685
190	397	1682
191	402	1691
192	404	1689
193	405	1686
194	407	1683
195	410	1681
196	411	1677
197	413	1673
198	416	1676
199	417	1671
200	419	1667
201	420	1663
202	422	1659
203	424	1654
204	426	1653
205	428	1651
206	430	1647
207	431	1643
208	433	1640
209	440	1656
210	475	1777
211	477	1775
212	479	1772
213	484	1780
214	486	1775
215	487	1770
216	490	1769
217	493	1768
218	494	1763
219	496	1760
220	498	1757
221	500	1754
222	502	1750
223	506	1754
224	508	1751
225	509	1746
226	511	1741
227	512	1736
228	514	1731
229	515	1727
230	517	1722
231	519	1718
232	522	1720
233	524	1716
234	526	1713
235	528	1710
236	529	1706
237	531	1701
238	534	1701
239	537	1702
240	539	1697
241	540	1692
242	541	1688
243	543	1683
244	545	1680
245	546	1676
246	548	1671
247	549	1667
248	553	1668
249	554	1664
250	556	1660
251	558	1656
252	559	1652
253	561	1648
254	562	1643
255	563	1638
256	566	1638
257	568	1635
258	570	1631
259	571	1627
260	573	1623
261	575	1619
262	576	1616
263	578	1612
264	579	1608
265	581	1605
266	583	1601
267	584	1597
268	586	1592
269	587	1588
270	589	1585
271	590	1581
272	592	1577
273	600	1591
274	602	1587
275	603	1583
276	605	1581
277	607	1578
278	612	1582
279	614	1579
280	616	1576
281	618	1574
282	620	1570
283	621	1567
284	623	1564
285	626	1564
286	628	1561
287	630	1558
288	632	1555
289	639	1564
290	642	1566
291	644	1562
292	645	1558
293	647	1555
294	649	1551
295	650	1547
296	652	1544
297	653	1540
298	657	1542
299	659	1538
300	661	1535
301	662	1531
302	664	1528
303	665	1524
304	667	1520
305	669	1517
306	670	1513
307	671	1509
308	673	1506
309	675	1502
310	676	1498
311	677	1494
312	679	1490
313	680	1487
314	682	1484
315	685	1484
316	687	1481
317	693	1486
318	694	1482
319	696	1480
320	698	1477
321	701	1476
322	702	1473
323	704	1469
324	706	1466
325	709	1467
326	712	1466
327	714	1464
328	717	1464
329	719	1460
330	720	1456
331	722	1453
332	723	1449
333	727	1451
334	734	1458
335	736	1455
336	739	1454
337	742	1454
338	744	1452
339	748	1453
340	752	1454
341	754	1451
342	755	1447
343	757	1444
344	760	1443
345	765	1446
346	768	1446
347	771	1445
348	773	1442
349	775	1439
350	778	1439
351	780	1437
352	782	1434
353	784	1431
354	787	1430
355	789	1428
356	794	1430
357	796	1428
358	798	1424
359	799	1421
360	801	1418
361	802	1414
362	804	1411
363	805	1408
364	809	1408
365	811	1405
366	813	1402
367	814	1399
368	816	1396
369	818	1393
370	819	1390
371	821	1387
372	825	1386
373	826	1383
374	828	1381
375	830	1378
376	833	1376
377	834	1373
378	836	1370
379	840	1371
380	842	1368
381	843	1364
382	845	1361
383	847	1359
384	848	1355
385	850	1353
386	854	1352
387	855	1349
388	856	1345
389	858	1342
390	859	1339
391	861	1335
392	862	1332
393	864	1329
394	865	1326
395	868	1324
396	870	1321
397	876	1326
398	878	1323
399	880	1320
400	881	1317
401	884	1315
402	886	1312
403	887	1309
404	890	1307
405	892	1305
406	895	1304
407	898	1303
408	900	1301
409	901	1297
410	903	1294
411	904	1291
412	906	1288
413	907	1284
414	909	1281
415	910	1278
416	914	1278
417	916	1275
418	918	1273
419	920	1270
420	922	1269
421	925	1267
422	928	1267
423	930	1264
424	931	1260
425	933	1257
426	935	1254
427	936	1251
428	938	1248
429	939	1245
430	943	1245
431	949	1248
432	951	1246
433	953	1243
434	955	1241
435	957	1238
436	959	1236
437	961	1234
438	963	1231
439	965	1229
440	970	1229
441	973	1228
442	975	1226
443	977	1223
444	978	1220
445	980	1217
446	981	1214
447	983	1211
448	985	1209
449	988	1207
450	989	1204
451	991	1201
452	992	1198
453	994	1196
454	996	1193
455	998	1190
456	999	1187
457	1001	1184
458	1005	1184
459	1006	1182
460	1008	1179
461	1011	1177
462	1012	1174
463	1014	1171
464	1015	1168
465	1016	1165
466	1019	1163
467	1020	1160
468	1021	1157
469	1023	1154
470	1024	1151
471	1026	1148
472	1027	1145
473	1029	1142
474	1030	1138
475	1031	1135
476	1034	1134
477	1036	1131
478	1037	1128
479	1039	1125
480	1040	1123
481	1042	1120
482	1044	1117
483	1045	1115
484	1049	1114
485	1051	1112
486	1053	1109
487	1055	1107
488	1058	1106
489	1060	1103
490	1061	1100
491	1064	1099
492	1066	1096
493	1067	1093
494	1069	1091
495	1070	1088
496	1072	1085
497	1074	1082
498	1075	1080
499	1077	1077
500	1079	1074
501	1082	1073
502	1084	1071
503	1086	1068
504	1088	1067
505	1090	1064
506	1094	1063
507	1096	1061
508	1098	1059
509	1105	1062
510	1110	1062
511	1113	1061
512	1116	1059
513	1118	1057
514	1120	1054
515	1121	1052
516	1130	1056
517	1132	1053
518	1133	1050
519	1134	1047
520	1136	1044
521	1138	1042
522	1142	1041
523	1143	1038
524	1145	1036
525	1146	1033
526	1148	1030
527	1149	1027
528	1151	1024
529	1152	1022
530	1156	1021
531	1157	1018
532	1159	1015
533	1160	1012
534	1161	1009
535	1163	1007
536	1165	1005
537	1167	1002
538	1171	1001
539	1172	998
540	1174	996
541	1175	993
542	1177	990
543	1178	988
544	1180	985
545	1181	982
546	1183	979
547	1186	978
548	1187	975
549	1189	973
550	1190	970
551	1192	967
552	1193	964
553	1195	962
554	1196	959
555	1197	956
556	1201	955
557	1202	952
558	1204	950
559	1205	947
560	1207	944
561	1208	942
562	1210	939
563	1212	937
564	1213	934
565	1217	933
566	1225	935
567	1226	932
568	1228	930
569	1229	927
570	1232	926
571	1234	923
572	1236	921
573	1237	918
574	1239	915
575	1240	913
576	1243	911
577	1244	908
578	1246	906
579	1247	903
580	1249	901
581	1250	898
582	1252	895
583	1253	893
584	1255	890
585	1258	889
586	1259	886
587	1261	883
588	1262	881
589	1264	878
590	1265	875
591	1267	873
592	1269	871
593	1271	868
594	1274	867
595	1276	865
596	1278	863
597	1283	862
598	1285	860
599	1286	857
600	1289	856
601	1291	853
602	1292	851
603	1294	848
604	1296	846
605	1298	843
606	1300	841
607	1301	839
608	1303	837
609	1305	834
610	1307	832
611	1309	829
612	1310	827
613	1313	825
614	1314	823
615	1316	820
616	1317	818
617	1319	815
618	1320	813
619	1322	810
620	1323	807
621	1325	805
622	1327	803
623	1329	800
624	1330	798
625	1332	796
626	1334	793
627	1336	791
628	1337	788
629	1339	786
630	1340	784
631	1343	782
632	1345	780
633	1347	777
634	1348	775
635	1350	773
636	1352	770
637	1354	768
638	1355	765
639	1358	764
640	1359	761
641	1361	759
642	1362	756
643	1364	754
644	1365	751
645	1367	749
646	1368	746
647	1370	744
648	1371	741
649	1374	740
650	1376	737
651	1377	735
652	1379	732
653	1380	730
654	1382	727
655	1383	725
656	1385	723
657	1390	722
658	1391	720
659	1393	717
660	1394	715
661	1396	712
662	1397	710
663	1401	709
664	1405	707
665	1406	705
666	1408	703
667	1409	700
668	1411	698
669	1412	695
670	1414	693
671	1415	691
672	1417	688
673	1420	687
674	1421	684
675	1423	682
676	1424	679
677	1426	677
678	1427	675
679	1429	672
680	1430	670
681	1432	667
682	1435	666
683	1437	664
684	1438	661
685	1440	659
686	1442	657
687	1443	654
688	1445	652
689	1446	649
690	1448	647
691	1450	645
692	1455	644
693	1457	642
694	1461	641
695	1462	639
696	1466	637
697	1467	635
698	1469	632
699	1470	630
700	1472	627
701	1473	625
702	1475	623
703	1476	620
704	1478	618
705	1481	617
706	1483	614
707	1484	612
708	1486	610
709	1487	607
710	1489	605
711	1490	603
712	1492	600
713	1495	598
714	1496	596
715	1498	594
716	1500	592
717	1502	590
718	1512	590
719	1514	588
720	1515	586
721	1517	584
722	1520	582
723	1522	580
724	1524	578
725	1527	576
726	1529	574
727	1535	573
728	1540	572
729	1543	571
730	1545	568
731	1547	566
732	1549	564
733	1551	562
734	1553	560
735	1558	559
736	1560	556
737	1562	554
738	1564	552
739	1569	551
740	1571	549
741	1574	547
742	1577	545
743	1578	543
744	1580	541
745	1584	539
746	1586	537
747	1589	535
748	1591	533
749	1593	531
750	1595	529
751	1597	526
752	1601	525
753	1618	527
754	1622	526
755	1625	524
756	1627	522
757	1629	520
758	1631	518
759	1633	515
760	1635	513
761	1639	512
762	1643	510
763	1645	508
764	1647	506
765	1649	504
766	1651	501
767	1657	500
768	1659	498
769	1661	496
770	1666	494
771	1668	492
772	1673	491
773	1675	489
774	1677	486
775	1679	484
776	1681	482
777	1683	480
778	1689	479
779	1692	477
780	1694	475
781	1696	472
782	1698	470
783	1700	468
784	1704	466
785	1707	465
786	1709	462
787	1712	460
788	1714	458
789	1722	457
790	1724	455
791	1726	453
792	1728	451
793	1730	448
794	1734	447
795	1736	445
796	1738	442
797	1740	440
798	1742	438
799	1744	436
800	1746	433
801	1750	432
802	1752	430
803	1754	427
804	1755	425
805	1757	422
806	1758	420
807	1759	418
808	1764	416
809	1766	414
810	1768	412
811	1769	409
812	1771	407
813	1772	405
814	1774	402
815	1776	400
816	1779	398
817	1780	396
818	1782	393
819	1783	391
820	1785	389
821	1786	386
822	1788	384
823	1793	382
824	1795	380
825	1797	378
826	1799	376
827	1801	374
828	1803	371
829	1807	370
830	1809	368
831	1811	365
832	1813	363
833	1814	361
834	1816	358
835	1817	356
836	1818	354
837	1823	352
838	1825	350
839	1826	347
840	1828	345
841	1830	343
842	1832	341
843	1833	338
844	1837	337
845	1839	334
846	1841	332
847	1843	330
848	1845	328
849	1848	326
850	1852	324
851	1855	322
852	1857	320
853	1859	317
854	1860	315
855	1862	313
856	1863	310
857	1865	308
858	1869	306
859	1872	304
860	1873	302
861	1875	300
862	1877	298
863	1879	295
864	1885	294
865	1887	292
866	1889	289
867	1890	287
868	1892	285
